experiment_id,successful,wave_amplitude,wave_frequency,square_position,square_dimension_perc,line_center_coordinates,line_thickness_perc,line_dimension_perc,line_angle,rotation,filename
0,True,0.0,1.69,"(457, 90)",0.0,,0.0,0.0,0.0,"(1, 1)",128barcode_this_is_a_message!.jpg
1,True,0.0,1.99,"(219, 31)",0.0,,0.0,0.0,0.0,"(13, -10)",128barcode_this_is_a_message!.jpg
2,True,0.0,2.03,"(303, 50)",0.0,,0.0,0.0,0.0,"(8, 10)",128barcode_this_is_a_message!.jpg
3,True,0.25,1.24,"(36, 79)",0.0,,0.0,0.0,0.0,"(8, -11)",128barcode_this_is_a_message!.jpg
4,True,0.25,2.51,"(331, 66)",0.0,,0.0,0.0,0.0,"(19, -11)",128barcode_this_is_a_message!.jpg
5,True,0.25,2.37,"(155, 46)",0.0,,0.0,0.0,0.0,"(-8, 12)",128barcode_this_is_a_message!.jpg
6,False,0.5,2.96,"(378, 3)",0.0,,0.0,0.0,0.0,"(17, -3)",128barcode_this_is_a_message!.jpg
7,True,0.5,1.43,"(264, 2)",0.0,,0.0,0.0,0.0,"(-10, 3)",128barcode_this_is_a_message!.jpg
8,True,0.5,1.46,"(137, 64)",0.0,,0.0,0.0,0.0,"(-16, -1)",128barcode_this_is_a_message!.jpg
9,False,0.75,2.92,"(170, 35)",0.0,,0.0,0.0,0.0,"(-4, 14)",128barcode_this_is_a_message!.jpg
10,False,0.75,2.03,"(174, 12)",0.0,,0.0,0.0,0.0,"(5, 2)",128barcode_this_is_a_message!.jpg
11,False,0.75,2.99,"(413, 65)",0.0,,0.0,0.0,0.0,"(-4, 3)",128barcode_this_is_a_message!.jpg
12,False,1.0,2.05,"(153, 61)",0.0,,0.0,0.0,0.0,"(10, -14)",128barcode_this_is_a_message!.jpg
13,False,1.0,2.89,"(392, 73)",0.0,,0.0,0.0,0.0,"(7, 8)",128barcode_this_is_a_message!.jpg
14,False,1.0,1.6,"(415, 51)",0.0,,0.0,0.0,0.0,"(-14, 6)",128barcode_this_is_a_message!.jpg
15,False,0.0,1.99,"(674, 93)",0.0,,0.0,0.0,0.0,"(16, -6)",128barcode_this_is_a_wonderful_message!.jpg
16,False,0.0,1.06,"(325, 72)",0.0,,0.0,0.0,0.0,"(3, -12)",128barcode_this_is_a_wonderful_message!.jpg
17,False,0.0,2.97,"(492, 33)",0.0,,0.0,0.0,0.0,"(-19, 8)",128barcode_this_is_a_wonderful_message!.jpg
18,False,0.25,1.22,"(515, 82)",0.0,,0.0,0.0,0.0,"(8, -11)",128barcode_this_is_a_wonderful_message!.jpg
19,True,0.25,2.8,"(228, 89)",0.0,,0.0,0.0,0.0,"(12, 14)",128barcode_this_is_a_wonderful_message!.jpg
20,False,0.25,2.13,"(63, 14)",0.0,,0.0,0.0,0.0,"(0, 14)",128barcode_this_is_a_wonderful_message!.jpg
