experiment_id,successful,wave_amplitude,wave_frequency,square_position,square_dimension_perc,line_center_coordinates,line_thickness_perc,line_dimension_perc,line_angle,rotation,scale,filename
1,True,0.1,1.96,"(659, 36)",0.0,,0.0,0.0,0.0,"(-18, -20)",0.9889385048078567,_claycode-8E5MS2e.png
2,True,0.2,1.12,"(361, 184)",0.0,,0.0,0.0,0.0,"(-11, 15)",0.9469952194932356,_claycode-8E5MS2e.png
3,True,0.3,1.19,"(417, 89)",0.0,,0.0,0.0,0.0,"(10, -10)",1.0697729570223118,_claycode-8E5MS2e.png
4,True,0.4,1.47,"(504, 154)",0.0,,0.0,0.0,0.0,"(-11, 10)",1.0306863381313545,_claycode-8E5MS2e.png
5,True,0.5,1.67,"(116, 538)",0.0,,0.0,0.0,0.0,"(17, 11)",0.9552745831935082,_claycode-8E5MS2e.png
6,True,0.6,1.22,"(319, 263)",0.0,,0.0,0.0,0.0,"(17, 11)",0.9578262127543729,_claycode-8E5MS2e.png
7,True,0.7,1.15,"(471, 638)",0.0,,0.0,0.0,0.0,"(-20, 19)",0.9715111004440634,_claycode-8E5MS2e.png
8,True,0.8,1.06,"(283, 498)",0.0,,0.0,0.0,0.0,"(-14, 16)",0.9305051545701659,_claycode-8E5MS2e.png
9,True,0.9,1.52,"(40, 554)",0.0,,0.0,0.0,0.0,"(-12, -14)",1.081085881622954,_claycode-8E5MS2e.png
10,True,1.0,1.19,"(392, 83)",0.0,,0.0,0.0,0.0,"(15, -19)",0.9723613774253257,_claycode-8E5MS2e.png
12,True,0.1,1.02,"(264, 413)",0.0,,0.0,0.0,0.0,"(-18, -19)",1.0750039647636336,_claycode-DPVvmG0KpNe4E.png
13,True,0.2,1.22,"(247, 134)",0.0,,0.0,0.0,0.0,"(14, 13)",0.9687653437396972,_claycode-DPVvmG0KpNe4E.png
14,True,0.3,1.65,"(515, 541)",0.0,,0.0,0.0,0.0,"(18, 11)",1.0897197908023217,_claycode-DPVvmG0KpNe4E.png
15,True,0.4,1.66,"(546, 455)",0.0,,0.0,0.0,0.0,"(10, -16)",1.0135654775034808,_claycode-DPVvmG0KpNe4E.png
16,True,0.5,1.03,"(79, 614)",0.0,,0.0,0.0,0.0,"(11, 14)",0.9686560445944893,_claycode-DPVvmG0KpNe4E.png
17,True,0.6,1.52,"(374, 290)",0.0,,0.0,0.0,0.0,"(20, -14)",0.9043429762751941,_claycode-DPVvmG0KpNe4E.png
18,True,0.7,1.35,"(616, 273)",0.0,,0.0,0.0,0.0,"(12, 13)",0.9748275098566667,_claycode-DPVvmG0KpNe4E.png
19,True,0.8,1.37,"(565, 156)",0.0,,0.0,0.0,0.0,"(18, -14)",1.0100907202316611,_claycode-DPVvmG0KpNe4E.png
20,True,0.9,1.01,"(597, 398)",0.0,,0.0,0.0,0.0,"(-13, 15)",0.9703257859147584,_claycode-DPVvmG0KpNe4E.png
21,True,1.0,1.19,"(21, 38)",0.0,,0.0,0.0,0.0,"(15, -12)",1.032450456023685,_claycode-DPVvmG0KpNe4E.png
23,True,0.1,1.59,"(271, 444)",0.0,,0.0,0.0,0.0,"(15, -15)",1.012420623198627,_claycode-OPuod.png
24,True,0.2,1.17,"(581, 135)",0.0,,0.0,0.0,0.0,"(-18, -20)",0.9709227978508139,_claycode-OPuod.png
25,True,0.3,1.61,"(491, 529)",0.0,,0.0,0.0,0.0,"(16, -19)",1.0524316924537338,_claycode-OPuod.png
26,True,0.4,1.92,"(495, 490)",0.0,,0.0,0.0,0.0,"(-19, -16)",0.9353418286032307,_claycode-OPuod.png
27,True,0.5,1.61,"(85, 222)",0.0,,0.0,0.0,0.0,"(-14, 12)",0.9371419471282915,_claycode-OPuod.png
28,True,0.6,1.5,"(649, 78)",0.0,,0.0,0.0,0.0,"(16, 18)",0.9484963613005017,_claycode-OPuod.png
29,True,0.7,1.25,"(312, 508)",0.0,,0.0,0.0,0.0,"(-15, -16)",0.9496208552251001,_claycode-OPuod.png
30,True,0.8,1.59,"(660, 100)",0.0,,0.0,0.0,0.0,"(-12, -19)",1.0569251033761096,_claycode-OPuod.png
31,True,0.9,1.61,"(221, 512)",0.0,,0.0,0.0,0.0,"(19, -20)",0.9366082558179603,_claycode-OPuod.png
32,True,1.0,1.42,"(201, 182)",0.0,,0.0,0.0,0.0,"(10, 14)",1.060292099237904,_claycode-OPuod.png
34,True,0.1,1.45,"(659, 632)",0.0,,0.0,0.0,0.0,"(17, -12)",1.0142705979066888,_claycode-TtAkZf4j98TBiE.png
35,True,0.2,1.79,"(209, 607)",0.0,,0.0,0.0,0.0,"(-16, 19)",1.057830210758616,_claycode-TtAkZf4j98TBiE.png
36,True,0.3,1.45,"(305, 564)",0.0,,0.0,0.0,0.0,"(11, 20)",1.0144738907537034,_claycode-TtAkZf4j98TBiE.png
37,True,0.4,1.12,"(122, 177)",0.0,,0.0,0.0,0.0,"(12, -10)",1.054972029094485,_claycode-TtAkZf4j98TBiE.png
38,True,0.5,1.01,"(509, 283)",0.0,,0.0,0.0,0.0,"(-19, -10)",1.0305633347701504,_claycode-TtAkZf4j98TBiE.png
39,True,0.6,1.4,"(174, 452)",0.0,,0.0,0.0,0.0,"(-14, 17)",1.0977801785386507,_claycode-TtAkZf4j98TBiE.png
40,True,0.7,1.61,"(562, 454)",0.0,,0.0,0.0,0.0,"(17, 20)",1.0716393133458373,_claycode-TtAkZf4j98TBiE.png
41,True,0.8,1.56,"(674, 624)",0.0,,0.0,0.0,0.0,"(-19, 14)",1.0528858075718555,_claycode-TtAkZf4j98TBiE.png
42,True,0.9,1.51,"(285, 145)",0.0,,0.0,0.0,0.0,"(-20, 14)",0.999994338823634,_claycode-TtAkZf4j98TBiE.png
43,True,1.0,1.57,"(343, 390)",0.0,,0.0,0.0,0.0,"(-10, -12)",1.020506108710324,_claycode-TtAkZf4j98TBiE.png
45,True,0.1,1.38,"(439, 87)",0.0,,0.0,0.0,0.0,"(-11, 10)",0.9233122743035569,_claycode-fZ5GWiX8.png
46,True,0.2,1.36,"(638, 684)",0.0,,0.0,0.0,0.0,"(-10, 11)",1.0879195354187736,_claycode-fZ5GWiX8.png
47,True,0.3,1.54,"(14, 71)",0.0,,0.0,0.0,0.0,"(10, -19)",1.0603949328512563,_claycode-fZ5GWiX8.png
