experiment_id,successful,wave_amplitude,wave_frequency,square_position,square_dimension_perc,line_center_coordinates,line_thickness_perc,line_dimension_perc,line_angle,rotation,scale,filename
400,True,0.2,1.69,"(479, 412)",0.1,,0.0,0.0,0.0,"(-14, 17)",1.0427526908150135,qr2-8E5MS2e.png
401,True,0.2,1.69,"(491, 422)",0.2,,0.0,0.0,0.0,"(-14, 17)",1.0427526908150135,qr2-8E5MS2e.png
402,False,0.2,1.69,"(427, 312)",0.3,,0.0,0.0,0.0,"(-14, 17)",1.0427526908150135,qr2-8E5MS2e.png
403,False,0.2,1.69,"(146, 252)",0.4,,0.0,0.0,0.0,"(-14, 17)",1.0427526908150135,qr2-8E5MS2e.png
404,False,0.2,1.69,"(416, 193)",0.5,,0.0,0.0,0.0,"(-14, 17)",1.0427526908150135,qr2-8E5MS2e.png
405,True,0.2,1.27,"(181, 432)",0.1,,0.0,0.0,0.0,"(15, -11)",0.9862086979212173,qr2-8E5MS2e.png
406,False,0.2,1.27,"(144, 169)",0.2,,0.0,0.0,0.0,"(15, -11)",0.9862086979212173,qr2-8E5MS2e.png
407,False,0.2,1.27,"(236, 431)",0.3,,0.0,0.0,0.0,"(15, -11)",0.9862086979212173,qr2-8E5MS2e.png
408,False,0.2,1.27,"(444, 280)",0.4,,0.0,0.0,0.0,"(15, -11)",0.9862086979212173,qr2-8E5MS2e.png
409,False,0.2,1.27,"(288, 393)",0.5,,0.0,0.0,0.0,"(15, -11)",0.9862086979212173,qr2-8E5MS2e.png
410,True,0.2,1.64,"(254, 163)",0.1,,0.0,0.0,0.0,"(-12, 19)",0.9426334606165797,qr2-DPVvmG0KpNe4E.png
411,False,0.2,1.64,"(189, 438)",0.2,,0.0,0.0,0.0,"(-12, 19)",0.9426334606165797,qr2-DPVvmG0KpNe4E.png
412,False,0.2,1.64,"(145, 512)",0.3,,0.0,0.0,0.0,"(-12, 19)",0.9426334606165797,qr2-DPVvmG0KpNe4E.png
413,False,0.2,1.64,"(139, 423)",0.4,,0.0,0.0,0.0,"(-12, 19)",0.9426334606165797,qr2-DPVvmG0KpNe4E.png
414,False,0.2,1.64,"(303, 455)",0.5,,0.0,0.0,0.0,"(-12, 19)",0.9426334606165797,qr2-DPVvmG0KpNe4E.png
415,True,0.2,1.85,"(420, 457)",0.1,,0.0,0.0,0.0,"(12, 13)",0.9297235746404511,qr2-DPVvmG0KpNe4E.png
416,True,0.2,1.85,"(218, 608)",0.2,,0.0,0.0,0.0,"(12, 13)",0.9297235746404511,qr2-DPVvmG0KpNe4E.png
417,True,0.2,1.85,"(298, 490)",0.3,,0.0,0.0,0.0,"(12, 13)",0.9297235746404511,qr2-DPVvmG0KpNe4E.png
418,False,0.2,1.85,"(467, 176)",0.4,,0.0,0.0,0.0,"(12, 13)",0.9297235746404511,qr2-DPVvmG0KpNe4E.png
419,False,0.2,1.85,"(411, 238)",0.5,,0.0,0.0,0.0,"(12, 13)",0.9297235746404511,qr2-DPVvmG0KpNe4E.png
420,True,0.2,1.9,"(206, 367)",0.1,,0.0,0.0,0.0,"(-17, -12)",0.9950719883572573,qr2-OPuod.png
421,True,0.2,1.9,"(482, 446)",0.2,,0.0,0.0,0.0,"(-17, -12)",0.9950719883572573,qr2-OPuod.png
422,False,0.2,1.9,"(244, 443)",0.3,,0.0,0.0,0.0,"(-17, -12)",0.9950719883572573,qr2-OPuod.png
423,False,0.2,1.9,"(226, 324)",0.4,,0.0,0.0,0.0,"(-17, -12)",0.9950719883572573,qr2-OPuod.png
424,False,0.2,1.9,"(405, 433)",0.5,,0.0,0.0,0.0,"(-17, -12)",0.9950719883572573,qr2-OPuod.png
425,True,0.2,1.8,"(187, 143)",0.1,,0.0,0.0,0.0,"(15, 20)",1.0576092966372423,qr2-OPuod.png
426,False,0.2,1.8,"(500, 115)",0.2,,0.0,0.0,0.0,"(15, 20)",1.0576092966372423,qr2-OPuod.png
427,False,0.2,1.8,"(231, 334)",0.3,,0.0,0.0,0.0,"(15, 20)",1.0576092966372423,qr2-OPuod.png
428,False,0.2,1.8,"(304, 312)",0.4,,0.0,0.0,0.0,"(15, 20)",1.0576092966372423,qr2-OPuod.png
429,False,0.2,1.8,"(206, 312)",0.5,,0.0,0.0,0.0,"(15, 20)",1.0576092966372423,qr2-OPuod.png
430,True,0.2,1.48,"(599, 219)",0.1,,0.0,0.0,0.0,"(-20, -18)",1.050634937899642,qr2-TtAkZf4j98TBiE.png
431,True,0.2,1.48,"(620, 415)",0.2,,0.0,0.0,0.0,"(-20, -18)",1.050634937899642,qr2-TtAkZf4j98TBiE.png
432,False,0.2,1.48,"(511, 456)",0.3,,0.0,0.0,0.0,"(-20, -18)",1.050634937899642,qr2-TtAkZf4j98TBiE.png
433,False,0.2,1.48,"(423, 214)",0.4,,0.0,0.0,0.0,"(-20, -18)",1.050634937899642,qr2-TtAkZf4j98TBiE.png
434,False,0.2,1.48,"(174, 496)",0.5,,0.0,0.0,0.0,"(-20, -18)",1.050634937899642,qr2-TtAkZf4j98TBiE.png
435,True,0.2,1.51,"(419, 321)",0.1,,0.0,0.0,0.0,"(13, -17)",1.0662746977886493,qr2-TtAkZf4j98TBiE.png
436,False,0.2,1.51,"(104, 98)",0.2,,0.0,0.0,0.0,"(13, -17)",1.0662746977886493,qr2-TtAkZf4j98TBiE.png
437,False,0.2,1.51,"(552, 202)",0.3,,0.0,0.0,0.0,"(13, -17)",1.0662746977886493,qr2-TtAkZf4j98TBiE.png
438,False,0.2,1.51,"(191, 192)",0.4,,0.0,0.0,0.0,"(13, -17)",1.0662746977886493,qr2-TtAkZf4j98TBiE.png
439,False,0.2,1.51,"(485, 509)",0.5,,0.0,0.0,0.0,"(13, -17)",1.0662746977886493,qr2-TtAkZf4j98TBiE.png
440,True,0.2,1.89,"(528, 226)",0.1,,0.0,0.0,0.0,"(-12, 15)",0.9489684485753748,qr2-fZ5GWiX8.png
441,True,0.2,1.89,"(452, 400)",0.2,,0.0,0.0,0.0,"(-12, 15)",0.9489684485753748,qr2-fZ5GWiX8.png
442,False,0.2,1.89,"(117, 375)",0.3,,0.0,0.0,0.0,"(-12, 15)",0.9489684485753748,qr2-fZ5GWiX8.png
443,False,0.2,1.89,"(367, 415)",0.4,,0.0,0.0,0.0,"(-12, 15)",0.9489684485753748,qr2-fZ5GWiX8.png
444,False,0.2,1.89,"(297, 329)",0.5,,0.0,0.0,0.0,"(-12, 15)",0.9489684485753748,qr2-fZ5GWiX8.png
445,True,0.2,1.35,"(486, 278)",0.1,,0.0,0.0,0.0,"(-12, 20)",0.9964575218353795,qr2-fZ5GWiX8.png
446,True,0.2,1.35,"(265, 483)",0.2,,0.0,0.0,0.0,"(-12, 20)",0.9964575218353795,qr2-fZ5GWiX8.png
447,False,0.2,1.35,"(341, 120)",0.3,,0.0,0.0,0.0,"(-12, 20)",0.9964575218353795,qr2-fZ5GWiX8.png
448,False,0.2,1.35,"(443, 291)",0.4,,0.0,0.0,0.0,"(-12, 20)",0.9964575218353795,qr2-fZ5GWiX8.png
449,False,0.2,1.35,"(252, 422)",0.5,,0.0,0.0,0.0,"(-12, 20)",0.9964575218353795,qr2-fZ5GWiX8.png
450,True,0.2,1.7,"(360, 563)",0.1,,0.0,0.0,0.0,"(-16, -14)",1.0792255019223866,qr2-faRZ0H0PmA.png
451,True,0.2,1.7,"(394, 217)",0.2,,0.0,0.0,0.0,"(-16, -14)",1.0792255019223866,qr2-faRZ0H0PmA.png
452,False,0.2,1.7,"(314, 501)",0.3,,0.0,0.0,0.0,"(-16, -14)",1.0792255019223866,qr2-faRZ0H0PmA.png
453,False,0.2,1.7,"(268, 188)",0.4,,0.0,0.0,0.0,"(-16, -14)",1.0792255019223866,qr2-faRZ0H0PmA.png
454,False,0.2,1.7,"(190, 253)",0.5,,0.0,0.0,0.0,"(-16, -14)",1.0792255019223866,qr2-faRZ0H0PmA.png
455,True,0.2,1.63,"(247, 426)",0.1,,0.0,0.0,0.0,"(-17, 14)",1.0458429719921174,qr2-faRZ0H0PmA.png
456,True,0.2,1.63,"(84, 228)",0.2,,0.0,0.0,0.0,"(-17, 14)",1.0458429719921174,qr2-faRZ0H0PmA.png
457,False,0.2,1.63,"(226, 125)",0.3,,0.0,0.0,0.0,"(-17, 14)",1.0458429719921174,qr2-faRZ0H0PmA.png
458,False,0.2,1.63,"(242, 132)",0.4,,0.0,0.0,0.0,"(-17, 14)",1.0458429719921174,qr2-faRZ0H0PmA.png
459,False,0.2,1.63,"(348, 370)",0.5,,0.0,0.0,0.0,"(-17, 14)",1.0458429719921174,qr2-faRZ0H0PmA.png
460,False,0.2,1.85,"(236, 323)",0.1,,0.0,0.0,0.0,"(13, -18)",0.9696969869701023,qr2-g5EVtP.png
461,False,0.2,1.85,"(216, 161)",0.2,,0.0,0.0,0.0,"(13, -18)",0.9696969869701023,qr2-g5EVtP.png
462,False,0.2,1.85,"(96, 406)",0.3,,0.0,0.0,0.0,"(13, -18)",0.9696969869701023,qr2-g5EVtP.png
463,False,0.2,1.85,"(199, 406)",0.4,,0.0,0.0,0.0,"(13, -18)",0.9696969869701023,qr2-g5EVtP.png
464,False,0.2,1.85,"(360, 285)",0.5,,0.0,0.0,0.0,"(13, -18)",0.9696969869701023,qr2-g5EVtP.png
465,True,0.2,1.32,"(187, 287)",0.1,,0.0,0.0,0.0,"(13, 10)",1.014675906524291,qr2-g5EVtP.png
466,False,0.2,1.32,"(162, 471)",0.2,,0.0,0.0,0.0,"(13, 10)",1.014675906524291,qr2-g5EVtP.png
467,False,0.2,1.32,"(433, 270)",0.3,,0.0,0.0,0.0,"(13, 10)",1.014675906524291,qr2-g5EVtP.png
468,False,0.2,1.32,"(187, 172)",0.4,,0.0,0.0,0.0,"(13, 10)",1.014675906524291,qr2-g5EVtP.png
469,False,0.2,1.32,"(414, 386)",0.5,,0.0,0.0,0.0,"(13, 10)",1.014675906524291,qr2-g5EVtP.png
470,False,0.2,1.87,"(87, 323)",0.1,,0.0,0.0,0.0,"(20, 16)",0.9017236243800311,qr2-iO2nTqxQr98.png
471,False,0.2,1.87,"(495, 357)",0.2,,0.0,0.0,0.0,"(20, 16)",0.9017236243800311,qr2-iO2nTqxQr98.png
472,False,0.2,1.87,"(394, 485)",0.3,,0.0,0.0,0.0,"(20, 16)",0.9017236243800311,qr2-iO2nTqxQr98.png
473,False,0.2,1.87,"(302, 423)",0.4,,0.0,0.0,0.0,"(20, 16)",0.9017236243800311,qr2-iO2nTqxQr98.png
474,False,0.2,1.87,"(198, 398)",0.5,,0.0,0.0,0.0,"(20, 16)",0.9017236243800311,qr2-iO2nTqxQr98.png
475,False,0.2,1.28,"(531, 87)",0.1,,0.0,0.0,0.0,"(19, -15)",0.9220375053458387,qr2-iO2nTqxQr98.png
476,False,0.2,1.28,"(264, 347)",0.2,,0.0,0.0,0.0,"(19, -15)",0.9220375053458387,qr2-iO2nTqxQr98.png
477,False,0.2,1.28,"(399, 426)",0.3,,0.0,0.0,0.0,"(19, -15)",0.9220375053458387,qr2-iO2nTqxQr98.png
478,False,0.2,1.28,"(239, 367)",0.4,,0.0,0.0,0.0,"(19, -15)",0.9220375053458387,qr2-iO2nTqxQr98.png
479,False,0.2,1.28,"(236, 392)",0.5,,0.0,0.0,0.0,"(19, -15)",0.9220375053458387,qr2-iO2nTqxQr98.png
480,True,0.2,1.2,"(448, 540)",0.1,,0.0,0.0,0.0,"(-16, -16)",1.049958914683316,qr2-pscejHqqS.png
481,True,0.2,1.2,"(300, 367)",0.2,,0.0,0.0,0.0,"(-16, -16)",1.049958914683316,qr2-pscejHqqS.png
482,False,0.2,1.2,"(198, 185)",0.3,,0.0,0.0,0.0,"(-16, -16)",1.049958914683316,qr2-pscejHqqS.png
483,False,0.2,1.2,"(357, 450)",0.4,,0.0,0.0,0.0,"(-16, -16)",1.049958914683316,qr2-pscejHqqS.png
484,False,0.2,1.2,"(254, 394)",0.5,,0.0,0.0,0.0,"(-16, -16)",1.049958914683316,qr2-pscejHqqS.png
485,True,0.2,1.46,"(182, 257)",0.1,,0.0,0.0,0.0,"(18, -16)",1.0257170934678803,qr2-pscejHqqS.png
486,False,0.2,1.46,"(303, 152)",0.2,,0.0,0.0,0.0,"(18, -16)",1.0257170934678803,qr2-pscejHqqS.png
487,False,0.2,1.46,"(307, 398)",0.3,,0.0,0.0,0.0,"(18, -16)",1.0257170934678803,qr2-pscejHqqS.png
488,False,0.2,1.46,"(234, 426)",0.4,,0.0,0.0,0.0,"(18, -16)",1.0257170934678803,qr2-pscejHqqS.png
489,False,0.2,1.46,"(356, 223)",0.5,,0.0,0.0,0.0,"(18, -16)",1.0257170934678803,qr2-pscejHqqS.png
490,True,0.2,1.87,"(463, 543)",0.1,,0.0,0.0,0.0,"(13, 17)",0.9082342444744582,qr2-qwXqOPMnAPwG.png
491,True,0.2,1.87,"(492, 604)",0.2,,0.0,0.0,0.0,"(13, 17)",0.9082342444744582,qr2-qwXqOPMnAPwG.png
492,False,0.2,1.87,"(544, 396)",0.3,,0.0,0.0,0.0,"(13, 17)",0.9082342444744582,qr2-qwXqOPMnAPwG.png
493,False,0.2,1.87,"(458, 402)",0.4,,0.0,0.0,0.0,"(13, 17)",0.9082342444744582,qr2-qwXqOPMnAPwG.png
494,False,0.2,1.87,"(325, 300)",0.5,,0.0,0.0,0.0,"(13, 17)",0.9082342444744582,qr2-qwXqOPMnAPwG.png
495,True,0.2,1.79,"(362, 338)",0.1,,0.0,0.0,0.0,"(-12, 12)",0.9939196777091459,qr2-qwXqOPMnAPwG.png
496,True,0.2,1.79,"(209, 448)",0.2,,0.0,0.0,0.0,"(-12, 12)",0.9939196777091459,qr2-qwXqOPMnAPwG.png
497,True,0.2,1.79,"(592, 576)",0.3,,0.0,0.0,0.0,"(-12, 12)",0.9939196777091459,qr2-qwXqOPMnAPwG.png
498,False,0.2,1.79,"(293, 384)",0.4,,0.0,0.0,0.0,"(-12, 12)",0.9939196777091459,qr2-qwXqOPMnAPwG.png
499,False,0.2,1.79,"(369, 482)",0.5,,0.0,0.0,0.0,"(-12, 12)",0.9939196777091459,qr2-qwXqOPMnAPwG.png
400,True,0.3,1.69,"(479, 412)",0.1,,0.0,0.0,0.0,"(-14, 17)",1.0427526908150135,qr3-8E5MS2e.png
401,True,0.3,1.69,"(491, 422)",0.2,,0.0,0.0,0.0,"(-14, 17)",1.0427526908150135,qr3-8E5MS2e.png
402,False,0.3,1.69,"(427, 312)",0.3,,0.0,0.0,0.0,"(-14, 17)",1.0427526908150135,qr3-8E5MS2e.png
403,False,0.3,1.69,"(146, 252)",0.4,,0.0,0.0,0.0,"(-14, 17)",1.0427526908150135,qr3-8E5MS2e.png
404,False,0.3,1.69,"(416, 193)",0.5,,0.0,0.0,0.0,"(-14, 17)",1.0427526908150135,qr3-8E5MS2e.png
405,True,0.3,1.27,"(181, 432)",0.1,,0.0,0.0,0.0,"(15, -11)",0.9862086979212173,qr3-8E5MS2e.png
406,False,0.3,1.27,"(144, 169)",0.2,,0.0,0.0,0.0,"(15, -11)",0.9862086979212173,qr3-8E5MS2e.png
407,False,0.3,1.27,"(236, 431)",0.3,,0.0,0.0,0.0,"(15, -11)",0.9862086979212173,qr3-8E5MS2e.png
408,False,0.3,1.27,"(444, 280)",0.4,,0.0,0.0,0.0,"(15, -11)",0.9862086979212173,qr3-8E5MS2e.png
409,False,0.3,1.27,"(288, 393)",0.5,,0.0,0.0,0.0,"(15, -11)",0.9862086979212173,qr3-8E5MS2e.png
410,True,0.3,1.64,"(254, 163)",0.1,,0.0,0.0,0.0,"(-12, 19)",0.9426334606165797,qr3-DPVvmG0KpNe4E.png
411,True,0.3,1.64,"(189, 438)",0.2,,0.0,0.0,0.0,"(-12, 19)",0.9426334606165797,qr3-DPVvmG0KpNe4E.png
412,False,0.3,1.64,"(145, 512)",0.3,,0.0,0.0,0.0,"(-12, 19)",0.9426334606165797,qr3-DPVvmG0KpNe4E.png
413,False,0.3,1.64,"(139, 423)",0.4,,0.0,0.0,0.0,"(-12, 19)",0.9426334606165797,qr3-DPVvmG0KpNe4E.png
414,False,0.3,1.64,"(303, 455)",0.5,,0.0,0.0,0.0,"(-12, 19)",0.9426334606165797,qr3-DPVvmG0KpNe4E.png
415,True,0.3,1.85,"(420, 457)",0.1,,0.0,0.0,0.0,"(12, 13)",0.9297235746404511,qr3-DPVvmG0KpNe4E.png
416,True,0.3,1.85,"(218, 608)",0.2,,0.0,0.0,0.0,"(12, 13)",0.9297235746404511,qr3-DPVvmG0KpNe4E.png
417,True,0.3,1.85,"(298, 490)",0.3,,0.0,0.0,0.0,"(12, 13)",0.9297235746404511,qr3-DPVvmG0KpNe4E.png
418,False,0.3,1.85,"(467, 176)",0.4,,0.0,0.0,0.0,"(12, 13)",0.9297235746404511,qr3-DPVvmG0KpNe4E.png
419,False,0.3,1.85,"(411, 238)",0.5,,0.0,0.0,0.0,"(12, 13)",0.9297235746404511,qr3-DPVvmG0KpNe4E.png
420,True,0.3,1.9,"(206, 367)",0.1,,0.0,0.0,0.0,"(-17, -12)",0.9950719883572573,qr3-OPuod.png
421,True,0.3,1.9,"(482, 446)",0.2,,0.0,0.0,0.0,"(-17, -12)",0.9950719883572573,qr3-OPuod.png
422,False,0.3,1.9,"(244, 443)",0.3,,0.0,0.0,0.0,"(-17, -12)",0.9950719883572573,qr3-OPuod.png
423,False,0.3,1.9,"(226, 324)",0.4,,0.0,0.0,0.0,"(-17, -12)",0.9950719883572573,qr3-OPuod.png
424,False,0.3,1.9,"(405, 433)",0.5,,0.0,0.0,0.0,"(-17, -12)",0.9950719883572573,qr3-OPuod.png
425,False,0.3,1.8,"(187, 143)",0.1,,0.0,0.0,0.0,"(15, 20)",1.0576092966372423,qr3-OPuod.png
426,False,0.3,1.8,"(500, 115)",0.2,,0.0,0.0,0.0,"(15, 20)",1.0576092966372423,qr3-OPuod.png
427,False,0.3,1.8,"(231, 334)",0.3,,0.0,0.0,0.0,"(15, 20)",1.0576092966372423,qr3-OPuod.png
428,False,0.3,1.8,"(304, 312)",0.4,,0.0,0.0,0.0,"(15, 20)",1.0576092966372423,qr3-OPuod.png
429,False,0.3,1.8,"(206, 312)",0.5,,0.0,0.0,0.0,"(15, 20)",1.0576092966372423,qr3-OPuod.png
430,True,0.3,1.48,"(599, 219)",0.1,,0.0,0.0,0.0,"(-20, -18)",1.050634937899642,qr3-TtAkZf4j98TBiE.png
431,True,0.3,1.48,"(620, 415)",0.2,,0.0,0.0,0.0,"(-20, -18)",1.050634937899642,qr3-TtAkZf4j98TBiE.png
432,False,0.3,1.48,"(511, 456)",0.3,,0.0,0.0,0.0,"(-20, -18)",1.050634937899642,qr3-TtAkZf4j98TBiE.png
433,False,0.3,1.48,"(423, 214)",0.4,,0.0,0.0,0.0,"(-20, -18)",1.050634937899642,qr3-TtAkZf4j98TBiE.png
434,False,0.3,1.48,"(174, 496)",0.5,,0.0,0.0,0.0,"(-20, -18)",1.050634937899642,qr3-TtAkZf4j98TBiE.png
