experiment_id,successful,wave_amplitude,wave_frequency,square_position,square_dimension_perc,line_center_coordinates,line_thickness_perc,line_dimension_perc,line_angle,rotation,scale,filename
0,False,0.2,1.19,"(267, 309)",0.1,,0.0,0.0,0.0,"(19, 14)",1.001549084432416,_claycode2-8E5MS2e.png
1,False,0.2,1.19,"(239, 497)",0.2,,0.0,0.0,0.0,"(19, 14)",1.001549084432416,_claycode2-8E5MS2e.png
2,False,0.2,1.19,"(396, 188)",0.3,,0.0,0.0,0.0,"(19, 14)",1.001549084432416,_claycode2-8E5MS2e.png
3,False,0.2,1.19,"(400, 192)",0.4,,0.0,0.0,0.0,"(19, 14)",1.001549084432416,_claycode2-8E5MS2e.png
4,False,0.2,1.19,"(431, 205)",0.5,,0.0,0.0,0.0,"(19, 14)",1.001549084432416,_claycode2-8E5MS2e.png
5,False,0.2,1.55,"(184, 332)",0.1,,0.0,0.0,0.0,"(-13, -13)",1.0262361611520685,_claycode2-8E5MS2e.png
6,False,0.2,1.55,"(510, 544)",0.2,,0.0,0.0,0.0,"(-13, -13)",1.0262361611520685,_claycode2-8E5MS2e.png
7,False,0.2,1.55,"(435, 438)",0.3,,0.0,0.0,0.0,"(-13, -13)",1.0262361611520685,_claycode2-8E5MS2e.png
8,False,0.2,1.55,"(443, 228)",0.4,,0.0,0.0,0.0,"(-13, -13)",1.0262361611520685,_claycode2-8E5MS2e.png
9,False,0.2,1.55,"(207, 477)",0.5,,0.0,0.0,0.0,"(-13, -13)",1.0262361611520685,_claycode2-8E5MS2e.png
10,False,0.2,1.29,"(512, 199)",0.1,,0.0,0.0,0.0,"(17, 16)",1.00289573438535,_claycode2-DPVvmG0KpNe4E.png
11,False,0.2,1.29,"(452, 426)",0.2,,0.0,0.0,0.0,"(17, 16)",1.00289573438535,_claycode2-DPVvmG0KpNe4E.png
12,False,0.2,1.29,"(252, 491)",0.3,,0.0,0.0,0.0,"(17, 16)",1.00289573438535,_claycode2-DPVvmG0KpNe4E.png
13,False,0.2,1.29,"(524, 512)",0.4,,0.0,0.0,0.0,"(17, 16)",1.00289573438535,_claycode2-DPVvmG0KpNe4E.png
14,False,0.2,1.29,"(442, 364)",0.5,,0.0,0.0,0.0,"(17, 16)",1.00289573438535,_claycode2-DPVvmG0KpNe4E.png
15,False,0.2,1.15,"(251, 545)",0.1,,0.0,0.0,0.0,"(16, 13)",1.0446023737770025,_claycode2-DPVvmG0KpNe4E.png
16,False,0.2,1.15,"(315, 549)",0.2,,0.0,0.0,0.0,"(16, 13)",1.0446023737770025,_claycode2-DPVvmG0KpNe4E.png
17,False,0.2,1.15,"(161, 211)",0.3,,0.0,0.0,0.0,"(16, 13)",1.0446023737770025,_claycode2-DPVvmG0KpNe4E.png
18,False,0.2,1.15,"(509, 250)",0.4,,0.0,0.0,0.0,"(16, 13)",1.0446023737770025,_claycode2-DPVvmG0KpNe4E.png
19,False,0.2,1.15,"(302, 429)",0.5,,0.0,0.0,0.0,"(16, 13)",1.0446023737770025,_claycode2-DPVvmG0KpNe4E.png
20,False,0.2,1.67,"(345, 459)",0.1,,0.0,0.0,0.0,"(17, 19)",0.9125350938235587,_claycode2-OPuod.png
21,False,0.2,1.67,"(145, 244)",0.2,,0.0,0.0,0.0,"(17, 19)",0.9125350938235587,_claycode2-OPuod.png
22,False,0.2,1.67,"(191, 397)",0.3,,0.0,0.0,0.0,"(17, 19)",0.9125350938235587,_claycode2-OPuod.png
23,False,0.2,1.67,"(223, 273)",0.4,,0.0,0.0,0.0,"(17, 19)",0.9125350938235587,_claycode2-OPuod.png
24,False,0.2,1.67,"(339, 459)",0.5,,0.0,0.0,0.0,"(17, 19)",0.9125350938235587,_claycode2-OPuod.png
25,False,0.2,1.12,"(379, 415)",0.1,,0.0,0.0,0.0,"(20, -20)",0.9064901629314382,_claycode2-OPuod.png
26,False,0.2,1.12,"(449, 605)",0.2,,0.0,0.0,0.0,"(20, -20)",0.9064901629314382,_claycode2-OPuod.png
27,False,0.2,1.12,"(354, 233)",0.3,,0.0,0.0,0.0,"(20, -20)",0.9064901629314382,_claycode2-OPuod.png
28,False,0.2,1.12,"(266, 414)",0.4,,0.0,0.0,0.0,"(20, -20)",0.9064901629314382,_claycode2-OPuod.png
29,False,0.2,1.12,"(196, 500)",0.5,,0.0,0.0,0.0,"(20, -20)",0.9064901629314382,_claycode2-OPuod.png
30,False,0.2,1.97,"(284, 85)",0.1,,0.0,0.0,0.0,"(-13, 10)",1.0305624792631378,_claycode2-TtAkZf4j98TBiE.png
