experiment_id,successful,wave_amplitude,wave_frequency,square_position,square_dimension_perc,line_center_coordinates,line_thickness_perc,line_dimension_perc,line_angle,filename
0,,0.1,3,"(200, 68)",0.5,,0.0,0.0,0,128barcode_this_is_a_message!.jpg
1,,0.1,3,,0.0,"(436, 49)",0.0,0.66,30,128barcode_this_is_a_message!.jpg
2,,0.1,3,,0.0,"(58, 55)",0.03,0.66,30,128barcode_this_is_a_message!.jpg
3,,0.1,3,"(487, 56)",0.5,,0.0,0.0,0,128barcode_this_is_a_wonderful_message!.jpg
4,,0.1,3,,0.0,"(325, 65)",0.0,0.66,30,128barcode_this_is_a_wonderful_message!.jpg
5,,0.1,3,,0.0,"(436, 38)",0.03,0.66,30,128barcode_this_is_a_wonderful_message!.jpg
6,,0.1,3,"(243, 623)",0.5,,0.0,0.0,0,claycode_this_is_a_message!.png
7,,0.1,3,,0.0,"(499, 572)",0.0,0.66,30,claycode_this_is_a_message!.png
8,,0.1,3,,0.0,"(361, 377)",0.03,0.66,30,claycode_this_is_a_message!.png
9,,0.1,3,"(321, 427)",0.5,,0.0,0.0,0,claycode_this_is_a_wonderful_message!.png
10,,0.1,3,,0.0,"(584, 528)",0.0,0.66,30,claycode_this_is_a_wonderful_message!.png
11,,0.1,3,,0.0,"(555, 501)",0.03,0.66,30,claycode_this_is_a_wonderful_message!.png
12,,0.1,3,"(1256, 1278)",0.5,,0.0,0.0,0,qr+art_this_is_a_message!.png
13,,0.1,3,,0.0,"(672, 513)",0.0,0.66,30,qr+art_this_is_a_message!.png
14,,0.1,3,,0.0,"(1416, 1476)",0.03,0.66,30,qr+art_this_is_a_message!.png
15,,0.1,3,"(1468, 1132)",0.5,,0.0,0.0,0,qr+art_this_is_a_wonderful_message!.png
16,,0.1,3,,0.0,"(953, 1762)",0.0,0.66,30,qr+art_this_is_a_wonderful_message!.png
17,,0.1,3,,0.0,"(1241, 756)",0.03,0.66,30,qr+art_this_is_a_wonderful_message!.png
18,,0.1,3,"(183, 178)",0.5,,0.0,0.0,0,qr_this_is_a_message!.png
19,,0.1,3,,0.0,"(198, 139)",0.0,0.66,30,qr_this_is_a_message!.png
20,,0.1,3,,0.0,"(214, 167)",0.03,0.66,30,qr_this_is_a_message!.png
21,,0.1,3,"(203, 120)",0.5,,0.0,0.0,0,qr_this_is_a_wonderful_message!.png
22,,0.1,3,,0.0,"(197, 61)",0.0,0.66,30,qr_this_is_a_wonderful_message!.png
23,,0.1,3,,0.0,"(133, 221)",0.03,0.66,30,qr_this_is_a_wonderful_message!.png
